"wavelength"	"power"	"n2_flow"	"no2_target"	"no2_actual"	"sigma"	"alpha"	"i0"	"i0_sd"	"i"	"i_sd"	"corrected"	"normalized"
578	165	221	8	9.68	4.75e-20	49.83	27.68	0.282	33.42	0.129	5.74	0.034787879
546	119	221	8	9.68	1.16e-19	121.69	21.61	0.323	31.25	0.117	9.64	0.081008403
436	125	221	8	9.68	5.42e-19	568.6	31.33	0.165	79.36	0.097	48.03	0.38424
660	702.72	221	8	9.68	6.15e-21	6.45	5.2918	0.1013	8.02	0.1256	2.7282	0.003882362
578	165	221	5	5.84	4.75e-20	30.57	27.68	0.282	30.38	0.158	2.7	0.016363636
546	119	221	5	5.84	1.16e-19	74.66	21.61	0.323	27.38	0.197	5.77	0.048487395
436	125	221	5	5.84	5.42e-19	348.85	31.33	0.165	59.8	0.088	28.47	0.22776
660	702.72	221	5	5.84	6.15e-21	3.96	5.2918	0.1013	6.97	0.0887	1.6782	0.002388161
578	165	221	2	4.47	4.75e-20	23.54	27.68	0.282	29.87	0.087	2.19	0.013272727
546	119	221	2	4.47	1.16e-19	57.49	21.61	0.323	26.3	0.138	4.69	0.039411765
436	125	221	2	4.47	5.42e-19	268.63	31.33	0.165	50.14	0.125	18.81	0.15048
660	702.72	221	2	4.47	6.15e-21	3.05	5.2918	0.1013	6.6	0.1514	1.3082	0.001861633
