"time";"wavelenth";"I";"SD";"Type"
"2015-02-20 13:56:39";578;30.314392;0.214886;"I"
"2015-02-20 13:56:50";546;19.066867;0.380721;"I"
"2015-02-20 13:57:02";436;29.622407;0.381905;"I"
"2015-02-20 13:57:13";364;24.284771;0.329471;"I"
"2015-02-20 13:57:25";314;45.07652;0.2038;"I"
"2015-02-20 13:57:36";301;57.771706;0.253967;"I"
"2015-02-20 13:57:55";405;10.236819;0.650611;"I"
"2015-02-20 13:57:55";660;11.483631;0.301018;"I"
"2015-02-20 13:58:10";578;30.008222;0.348637;"I"
"2015-02-20 13:58:21";546;19.4821;0.368499;"I"
"2015-02-20 13:58:32";436;30.461314;0.4474;"I"
"2015-02-20 13:58:44";364;24.311618;0.166673;"I"
"2015-02-20 13:58:55";314;46.298633;0.205367;"I"
"2015-02-20 13:59:07";301;58.186063;0.321118;"I"
"2015-02-20 13:59:26";405;10.578352;0.499687;"I"
"2015-02-20 13:59:26";660;11.486424;0.363777;"I"
"2015-02-20 13:59:40";578;30.101704;0.326763;"I"
"2015-02-20 13:59:51";546;19.543141;0.415134;"I"
"2015-02-20 14:00:03";436;30.071117;0.223468;"I"
"2015-02-20 14:00:14";364;24.015659;0.126269;"I"
"2015-02-20 14:00:26";314;46.9345;0.370446;"I"
"2015-02-20 14:00:37";301;59.774252;0.16401;"I"
"2015-02-20 14:00:56";405;11.239748;0.128489;"I"
"2015-02-20 14:00:56";660;11.758347;0.306437;"I"
"2015-02-20 14:01:11";578;30.376358;0.304617;"I"
"2015-02-20 14:01:22";546;19.518839;0.331219;"I"
"2015-02-20 14:01:33";436;30.042039;0.311845;"I"
"2015-02-20 14:01:45";364;24.754962;0.275021;"I"
"2015-02-20 14:01:56";314;47.6605;0.274587;"I"
"2015-02-20 14:02:08";301;60.927131;0.189026;"I"
"2015-02-20 14:02:27";405;11.202032;0.238545;"I"
"2015-02-20 14:02:27";660;12.333881;0.291808;"I"
"2015-02-20 14:02:41";578;30.76818;0.239323;"I0"
"2015-02-20 14:02:53";546;19.668057;0.108521;"I0"
"2015-02-20 14:03:04";436;29.798899;0.320123;"I0"
"2015-02-20 14:03:15";364;23.428457;0.788997;"I0"
"2015-02-20 14:03:27";314;45.110095;0.122089;"I0"
"2015-02-20 14:03:38";301;57.452729;0.123998;"I0"
"2015-02-20 14:03:57";405;9.53012;0.407075;"I0"
"2015-02-20 14:03:57";660;11.613158;0.386407;"I0"
"2015-02-20 14:04:12";578;28.755788;0.126988;"I0"
"2015-02-20 14:04:23";546;18.09856;0.230108;"I0"
"2015-02-20 14:04:34";436;28.741817;0.330234;"I0"
"2015-02-20 14:04:46";364;21.953206;0.214139;"I0"
"2015-02-20 14:04:57";314;39.952668;0.311623;"I0"
"2015-02-20 14:05:09";301;49.413245;0.2199;"I0"
"2015-02-20 14:05:28";405;8.536579;0.307755;"I0"
"2015-02-20 14:05:28";660;11.61057;0.391128;"I0"
"2015-02-20 14:05:42";578;28.639474;0.126816;"I0"
"2015-02-20 14:05:54";546;18.278133;0.182067;"I0"
"2015-02-20 14:06:05";436;28.342234;0.358286;"I0"
"2015-02-20 14:06:16";364;22.220822;0.200389;"I0"
"2015-02-20 14:06:28";314;38.030457;0.203781;"I0"
"2015-02-20 14:06:39";301;45.496573;0.269793;"I0"
"2015-02-20 14:06:58";405;8.609177;0.213825;"I0"
"2015-02-20 14:06:58";660;11.088416;0.32027;"I0"
"2015-02-20 14:07:13";578;28.81694;0.257495;"I0"
"2015-02-20 14:07:24";546;18.377708;0.526553;"I0"
"2015-02-20 14:07:35";436;28.292387;0.161193;"I0"
"2015-02-20 14:07:47";364;22.642201;0.27265;"I0"
"2015-02-20 14:07:58";314;36.808852;0.232695;"I0"
"2015-02-20 14:08:10";301;42.851799;0.228615;"I0"
"2015-02-20 14:08:29";405;9.036232;0.452379;"I0"
"2015-02-20 14:08:29";660;11.303517;0.380468;"I0"
"2015-02-20 14:08:43";578;28.585922;0.384833;"I0"
"2015-02-20 14:08:55";546;18.768372;0.264192;"I0"
"2015-02-20 14:09:06";436;28.057317;0.170151;"I0"
"2015-02-20 14:09:17";364;22.544187;0.353502;"I0"
"2015-02-20 14:09:29";314;35.879667;0.36002;"I0"
"2015-02-20 14:09:40";301;39.850774;0.449446;"I0"
"2015-02-20 14:09:59";405;8.246006;0.188158;"I0"
"2015-02-20 14:09:59";660;11.276427;0.138815;"I0"
"2015-02-20 14:10:14";578;0.340083;0.164507;"I0"
"2015-02-20 14:10:25";546;0.511336;0.307246;"I0"
"2015-02-20 14:10:36";436;0.221115;0.131155;"I0"
"2015-02-20 14:10:48";364;0.530921;0.189553;"I0"
"2015-02-20 14:10:59";314;0.501398;0.360122;"I0"
"2015-02-20 14:11:11";301;0.169994;0.094657;"I0"
"2015-02-20 14:11:30";405;10.239672;0.269818;"I0"
"2015-02-20 14:11:30";660;11.598955;0.17902;"I0"
"2015-02-20 14:11:44";578;29.646285;0.175301;"I0"
"2015-02-20 14:11:56";546;18.858708;0.122392;"I0"
"2015-02-20 14:12:07";436;29.827993;0.195914;"I0"
"2015-02-20 14:12:18";364;24.197552;0.374146;"I0"
"2015-02-20 14:12:30";314;37.775531;0.183846;"I0"
"2015-02-20 14:12:41";301;41.536099;0.241882;"I0"
"2015-02-20 14:13:00";405;12.317786;0.346494;"I0"
"2015-02-20 14:13:00";660;11.626387;0.284535;"I0"
"2015-02-20 14:13:15";578;0.236585;0.112833;"I0"
"2015-02-20 14:13:26";546;0.296487;0.196857;"I0"
"2015-02-20 14:13:37";436;0.517665;0.202685;"I0"
"2015-02-20 14:13:49";364;0.512966;0.293727;"I0"
"2015-02-20 14:14:00";314;0.218149;0.083186;"I0"
"2015-02-20 14:14:12";301;0.228266;0.129037;"I0"
"2015-02-20 14:14:31";405;12.329404;0.34501;"I0"
"2015-02-20 14:14:31";660;11.860814;0.222814;"I0"
"2015-02-20 14:14:45";578;28.937294;0.363865;"I"
"2015-02-20 14:14:57";546;18.523307;0.222827;"I"
"2015-02-20 14:15:08";436;29.066866;0.260432;"I"
"2015-02-20 14:15:19";364;23.3264;0.196775;"I"
"2015-02-20 14:15:31";314;37.282521;0.258041;"I"
"2015-02-20 14:15:42";301;41.192128;0.691857;"I"
"2015-02-20 14:16:01";405;13.447917;0.325399;"I"
"2015-02-20 14:16:01";660;11.423742;0.398783;"I"
"2015-02-20 14:16:16";578;28.498764;0.347441;"I"
"2015-02-20 14:16:27";546;18.372856;0.33671;"I"
"2015-02-20 14:16:39";436;28.606038;0.242778;"I"
"2015-02-20 14:16:50";364;23.359285;0.418528;"I"
"2015-02-20 14:17:01";314;39.39176;0.253434;"I"
"2015-02-20 14:17:13";301;45.662466;0.325331;"I"
"2015-02-20 14:17:32";405;12.658762;0.201788;"I"
"2015-02-20 14:17:32";660;11.331744;0.355235;"I"
"2015-02-20 14:17:46";578;28.126958;0.31757;"I"
"2015-02-20 14:17:58";546;18.034687;0.168337;"I"
"2015-02-20 14:18:09";436;28.399985;0.143801;"I"
"2015-02-20 14:18:20";364;23.094923;0.219678;"I"
"2015-02-20 14:18:32";314;41.230315;0.152186;"I"
"2015-02-20 14:18:43";301;49.128967;0.117115;"I"
"2015-02-20 14:19:02";405;13.090597;0.090974;"I"
"2015-02-20 14:19:02";660;11.458043;0.206658;"I"
"2015-02-20 14:19:17";578;27.907013;0.202362;"I"
"2015-02-20 14:19:28";546;17.861145;0.185622;"I"
"2015-02-20 14:19:40";436;28.245575;0.137919;"I"
"2015-02-20 14:19:51";364;22.811737;0.117739;"I"
"2015-02-20 14:20:02";314;42.375339;0.067258;"I"
"2015-02-20 14:20:14";301;51.45841;0.231931;"I"
"2015-02-20 14:20:33";405;0.93493;0.103102;"I"
"2015-02-20 14:20:33";660;0.285473;0.116899;"I"
"2015-02-20 13:56:39";578;30.314392;0.214886;"I"
"2015-02-20 13:56:50";546;19.066867;0.380721;"I"
"2015-02-20 13:57:02";436;29.622407;0.381905;"I"
"2015-02-20 13:57:13";364;24.284771;0.329471;"I"
"2015-02-20 13:57:25";314;45.07652;0.2038;"I"
"2015-02-20 13:57:36";301;57.771706;0.253967;"I"
"2015-02-20 13:57:55";405;10.236819;0.650611;"I"
"2015-02-20 13:57:55";660;11.483631;0.301018;"I"
"2015-02-20 13:58:10";578;30.008222;0.348637;"I"
"2015-02-20 13:58:21";546;19.4821;0.368499;"I"
"2015-02-20 13:58:32";436;30.461314;0.4474;"I"
"2015-02-20 13:58:44";364;24.311618;0.166673;"I"
